,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon,lat
528,2022-05-18 12:22," (2901 E. Olympic Blvd Los Angeles, CA)","Two Bedroom Apartment! Refrigerator and Stove Included, Ask For Ester!",2,830.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-two-bedroom-apartment/7485339987.html,"2,597",,
529,2022-05-18 12:22, (Los Angeles),"NICE PROPERTY CLOSE TO SCHOOLS, FREEWAYS, PARKS, SHOPPING CENTER",2,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-nice-property-close-to/7485343409.html,"2,200",,
530,2022-05-18 12:21, (DTLA),$500 Look & Lease Special on this Beautiful Roommate Style 2 Bedroom!,2,956.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-500-look-lease-special-on/7485343284.html,"2,918",,
531,2022-05-18 12:21, (Miracle Mile),2+2 in Miracle Mile/Mid Wilshire Area ^ Off Leash Dog Park ^ Sundeck,2,950.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-22-in-miracle-mile-mid/7485343253.html,"3,438",,
532,2022-05-18 12:20, (Alhambra),Is this too good to be true? The perfect location in Alhambra,1,650.0,https://losangeles.craigslist.org/lac/apa/d/alhambra-is-this-too-good-to-be-true/7485342699.html,"2,200",,
533,2022-05-18 12:20, (Franklin Village),Plus One Month Free! Wonderful Closet Space! Newly Renovated!,,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-plus-one-month-free/7485342523.html,"2,060",,
534,2022-05-18 12:20, (DTLA),Beautiful 1 Bedroom with Loft!  $1000 Look & Lease!  LAST DAY!!!,1,862.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-beautiful-bedroom-with-loft/7485342330.html,"2,599",,
535,2022-05-18 12:20, (Los Angeles),Great community! Visit today!,2,,https://losangeles.craigslist.org/lac/apa/d/beverly-hills-great-community-visit/7482302960.html,"2,850",,
536,2022-05-18 12:18," (550 N. Figueroa st., Los Angeles, CA)","Powerball Carpeting, 24-Hour Doorman, Sand Volleyball Court",2,946.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-powerball-carpeting-24-hour/7485341563.html,"2,968",,
537,2022-05-18 12:18," (616 St. Paul Ave., Los Angeles, CA)",One bedroom for June!,1,647.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-one-bedroom-for-june/7485341296.html,"2,431",,
