,Unnamed: 0,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon,y,x
1766,1766,2022-05-18 12:05," (909 W. Temple St., Los Angeles, CA)",Courtyard view with huge balcony!,,525.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-courtyard-view-with-huge/7481080208.html,"2,180","['34.061400', '-118.238500']",34.061400,-118.238500
1767,1767,2022-05-18 12:03," (101 Bridewell St, Los Angeles, CA)","Sundeck, Breakfast Bar, Package Acceptance",,440.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-sundeck-breakfast-bar/7482496372.html,"1,522","['34.114500', '-118.192900']",34.114500,-118.192900
1768,1768,2022-05-18 12:03, (Los Feliz),Apt.412 Beautifully renovated with Balcony,1.0,665.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-apt412-beautifully/7483323013.html,"2,690","['34.104000', '-118.292500']",34.104000,-118.292500
1769,1769,2022-05-18 12:03, (central LA 213/323),Patio/Balcony,1.0,687.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-patio-balcony/7484434271.html,"2,295","['34.100500', '-118.325400']",34.100500,-118.325400
1770,1770,2022-05-18 12:00, (central LA 213/323),Ceilings from 9' to up to 25' in select townhouses,1.0,1022.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-ceilings-from-to-up-to-25/7485332242.html,"3,975","['34.100433', '-118.344960']",34.100433,-118.344960
1771,1771,2022-05-18 12:00, (Roosevelt Lofts DTLA),The Size of this 1 BED 2 BATH is HUGE! MASSIVE 1335 SQ FT!,1.0,1335.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-the-size-of-this-bed-bath/7485332193.html,"3,784","['34.048712', '-118.258707']",34.048712,-118.258707
1772,1772,2022-05-18 12:00," (1026 S Broadway, Los Angeles, CA)","Designer Floor Plans, Central Air/Heating, Refrigerator",1.0,715.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-designer-floor-plans/7477556316.html,"2,745","['34.043400', '-118.271600']",34.043400,-118.271600
1773,1773,2022-05-18 11:59," (722 Bixel St., Los Angeles, CA)",Apartment Community with Business Center for WFH,,468.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-apartment-community-with/7472960995.html,"1,965","['34.055900', '-118.266600']",34.055900,-118.266600
1774,1774,2022-05-18 11:59," (505 N. Figueroa St., Los Angeles, CA)","ATM Machines, Granite Countertops, Large Picture Windows",,480.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-atm-machines-granite/7481075126.html,"2,106","['34.061400', '-118.238500']",34.061400,-118.238500
1775,1775,2022-05-18 11:59, (DOWNEY),DOWNEY CASA DUPLEX DE RENTA 2 RECAMARAS,2.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-downey-casa-duplex-de-renta/7478641617.html,,"['34.114500', '-118.192900']",34.114500,-118.192900
1776,1776,2022-05-18 11:59, (COMPTON),COMPTON AMPLIO APARTAMENTO ESTUDIO DE RENTA,,,https://losangeles.craigslist.org/lac/apa/d/compton-compton-amplio-apartamento/7474185774.html,,"['33.879600', '-118.216800']",33.879600,-118.216800
1777,1777,2022-05-18 11:59, (BELL GARDENS),BELL GARDENS APARTAMENTO DE RENTA 2 RECAMARAS,2.0,,https://losangeles.craigslist.org/lac/apa/d/bell-bell-gardens-apartamento-de-renta/7476187143.html,,"['33.965300', '-118.151500']",33.965300,-118.151500
1778,1778,2022-05-18 11:59, (COMPTON),COMPTON AMPLIO DUPLEX ESTUDIO DE RENTA,,,https://losangeles.craigslist.org/lac/apa/d/compton-compton-amplio-duplex-estudio/7483636727.html,,"['33.874800', '-118.240200']",33.874800,-118.240200
1779,1779,2022-05-18 11:59, (Hollywood Hills),"Real spacious Deluxe 2+2 with parking x2, Location!!!",2.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-real-spacious-deluxe-22/7479114046.html,"2,650","['34.108758', '-118.325275']",34.108758,-118.325275
1780,1780,2022-05-18 11:59, (Hollywood Hills),"Stainless appliances, Quartz counters, split layout, 2+2, Location!!!",2.0,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-stainless-appliances-quartz/7480524068.html,"2,750","['34.108758', '-118.325275']",34.108758,-118.325275
1782,1782,2022-05-18 11:58," (3205 Los Feliz Boulevard, Los Angeles, CA)",City Outside. Tranquility Inside.,,352.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-city-outside-tranquility/7478443824.html,"1,908","['34.112100', '-118.259400']",34.112100,-118.259400
1783,1783,2022-05-18 11:57," (930 Figuroa Terrace, Los Angeles, CA)","Central Heating and Air Conditioning, On Site Maintenance, Clubhouse",2.0,951.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-central-heating-and-air/7473851875.html,"2,684","['34.061400', '-118.238500']",34.061400,-118.238500
1784,1784,2022-05-18 11:57," (Pico Rivera, Whittier, Montebello)",Two Bedroom Apartment Designed For Your Comfort-Enjoy It Now-!,2.0,875.0,https://losangeles.craigslist.org/lac/apa/d/pico-rivera-two-bedroom-apartment/7485330238.html,"2,425","['33.998917', '-118.083608']",33.998917,-118.083608
1785,1785,2022-05-18 11:53, (central LA 213/323),"Hardwood Style Floors, Stainless Steel Appliances, Private Balcony*",2.0,1762.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-hardwood-style-floors/7485328450.html,"6,651","['34.042212', '-118.266507']",34.042212,-118.266507
1786,1786,2022-05-18 11:52," (5015 Clinton Street, Los Angeles, CA)","Available Now- In-Unit W/D, Stainless Apps, A/C, Large Balcony",2.0,1238.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-available-now-in-unit-d/7485327662.html,"3,215","['34.076200', '-118.302900']",34.076200,-118.302900
1787,1787,2022-05-18 11:51, (Echo Park),Master Bedroom + Bathroom Sublet in 3bd Echo Park Apartment,3.0,,https://losangeles.craigslist.org/lac/apa/d/dodgertown-master-bedroom-bathroom/7481395038.html,"1,425","['34.069725', '-118.254089']",34.069725,-118.254089
1788,1788,2022-05-18 11:50, (Hollywood),"Granite/Quartz countertops, Modern, Stylish Kitchen",2.0,984.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-granite-quartz-countertops/7485326771.html,"3,024","['34.098559', '-118.347910']",34.098559,-118.347910
