,posted,neighborhood,post title,number bedrooms,sqft,URL,price,lat
2696,2022-05-22 08:52, (USC / UNIVERSITY PARK),ATTN: USC STUDENTS - CLOSE TO USC/UNIVERSITY PARK,1,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-attn-usc-students-close-to/7486879210.html,"1,850",
2697,2022-05-22 08:50, (Rowland Heights),"H-102 Downstairs Corner, Next to Amenities, Central A/C",1,600.0,https://losangeles.craigslist.org/lac/apa/d/rowland-heights-102-downstairs-corner/7486878437.html,"2,114",
2698,2022-05-22 08:44, (1366 W 24th Street),"3 bedroom Apartment - Close to USC, FIDM, MT ST MARY & LA TRADE TECH",3,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-apartment-close-to/7476267360.html,"3,200",
2699,2022-05-22 08:44, (1366 W 24th Street),"3 bedroom Apartment - Close to USC, FIDM, MT ST MARY & LA TRADE TECH",3,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-apartment-close-to/7476267627.html,"3,200",
2700,2022-05-22 08:44, (1366 W 24th Street),"3 bedroom Apartment - Close to USC, FIDM, MT ST MARY & LA TRADE TECH",3,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-apartment-close-to/7476267506.html,"3,200",
2701,2022-05-22 08:44, (1366 W 24th Street),"3 bedroom Apartment - Close to USC, FIDM, MT ST MARY & LA TRADE TECH",3,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-apartment-close-to/7476267760.html,"3,200",
2702,2022-05-22 08:43," (HOLLYWOOD, LOS FELIZ, LOS ANGELES)","LUXURY TOWNHOUSE, NEWLY BUILT, 5107 HAROLD WAY 90027, WASHER DRYER",3,1500.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-luxury-townhouse-newly/7485943865.html,"3,995",
2703,2022-05-22 08:43, (Cypress park /Mount Washington),LA  View 2 story  House,4,2112.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-la-view-story-house/7486875776.html,"3,600",
2704,2022-05-22 08:40," (1026 S Broadway, Los Angeles, CA)","Central Air/Heating, Pantry, Refrigerator",1,715.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-central-air-heating-pantry/7479944893.html,"2,697",
2705,2022-05-22 08:39, (central LA 213/323),Large Floor Plans | 2 Bedroom in The Miracle Mile | Balcony | F/P,2,1000.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-large-floor-plans-bedroom/7486874074.html,"2,825",
2706,2022-05-22 08:38, (DTLA / South Park),"1 Bedroom 1 Bath w/ Gym, SS Appliances in Downtown Los Angeles",1,940.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-bath-gym-ss/7486873583.html,"2,600",
2707,2022-05-22 08:36, (East Hollywood/Koreatown),BEAUTIFUL OPEN CONCEPT 2 BD. With W/D in unit!,2,980.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-beautiful-open-concept-bd/7486872820.html,"2,880",
2708,2022-05-22 08:33, (Los Feliz Griffith Park),Video Tour! Hardwood Floors! Parking !!,1,700.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-video-tour-hardwood-floors/7484761772.html,"1,950",
2709,2022-05-22 08:26," (1221 W. 3rd St. , Los Angeles, CA)",Luxury is Built-in Not tacked On.,2,1218.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-luxury-is-built-in-not/7484212177.html,"3,705",
2710,2022-05-22 08:24," (550 N. Figueroa st., Los Angeles, CA)","Outdoor Putting Green, EV Chargers, Powerball Carpeting",1,698.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-outdoor-putting-green-ev/7482808831.html,"2,325",
2711,2022-05-22 08:21, (Highland Park),"Secluded, 2BR house & VIEW! Sustainable living!!",2,900.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-secluded-2br-house-view/7484572324.html,"3,300",
2712,2022-05-22 08:19, (West Hollywood),Great 1br/1bath/2 parking in premier West Hollywood 90046,1,718.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-great-1br-1bath-parking-in/7486865911.html,"2,250",
2713,2022-05-22 08:13, (Hollywood),Great 1br/1bath/2 parking in heart of Hollywood (Run Canyon),1,718.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-great-1br-1bath-parking-in/7486863778.html,"2,250",
2714,2022-05-22 08:12," (5910 Orange Ave, Apt.# D, Long Beach, CA 90805)",Will work with bad credit - 1 br/ 1 ba,1,,https://losangeles.craigslist.org/lac/apa/d/long-beach-will-work-with-bad-credit-br/7486863537.html,"1,750",
2715,2022-05-22 08:05, (Los Angeles),Gorgeous Co-Working Space for Creatives | $150/Month,,444.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-gorgeous-co-working-space/7486860850.html,150,
2716,2022-05-22 08:05, (central LA 213/323),"Stainless Steel Appliances, Carpeting, Mountain Views (select units)",1,759.0,https://losangeles.craigslist.org/lac/apa/d/glendale-stainless-steel-appliances/7484937123.html,"2,578",
2717,2022-05-22 08:02," (909 W. Temple St., Los Angeles, CA)",Apply today and move in by by May to get $500 on concession!,2,984.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-apply-today-and-move-in-by/7483661029.html,"2,679",
2718,2022-05-22 07:56," (N Eastman Ave Los Angeles, CA)",Great City Terrace Location!**,3,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-great-city-terrace-location/7486851016.html,"3,500",
2719,2022-05-22 07:53," (1221 W. 3rd St. , Los Angeles, CA)",A Higher Quality of Living Great Location.,1,641.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-higher-quality-of-living/7484062382.html,"2,494",
2720,2022-05-22 07:53," (550 N. Figueroa st., Los Angeles, CA)","Powerball Carpeting, Two Pilates Stations, EV Chargers",2,984.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-powerball-carpeting-two/7482918952.html,"2,941",
2721,2022-05-22 07:52," (1026 S Broadway, Los Angeles, CA)","Stainless Steel Sink with Pull-out Faucet, Dressing Vanities , Pantry",3,1192.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-stainless-steel-sink-with/7479276790.html,"5,014",
2722,2022-05-22 07:51," (616 St. Paul Ave., Los Angeles, CA)","Large two bedroom, two walk in closets, two bathrooms!",2,949.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-large-two-bedroom-two-walk/7477555029.html,"3,243",
2723,2022-05-22 07:45, (central LA 213/323),"BBQ/Picnic Area, Large Closets, On-Site Maintenance",,500.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bbq-picnic-area-large/7483215408.html,"2,000",
2724,2022-05-22 07:42," (930 Figuroa Terrace, Los Angeles, CA)","Central Heating & Air Conditioning, Affordable Apartments,",1,520.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-central-heating-air/7476764554.html,"1,936",
2725,2022-05-22 07:35, (central LA 213/323),"Large Closet, Beautiful Lighting with Kitchenette",,250.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-large-closet-beautiful/7480004553.html,"1,325",
2726,2022-05-22 07:27, (Downtown Los Angeles),Private comfortable bedroom an Private Bathroom an utilities,2,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-private-comfortable-bedroom/7486836602.html,"1,200",
2727,2022-05-22 07:26, (central LA 213/323),"Apartments Pre-wired with Fiber Optics, Wi-Fi Capable, Bicycle Storage",2,1183.0,https://losangeles.craigslist.org/lac/apa/d/glendale-apartments-pre-wired-with/7485801763.html,"4,283",
2728,2022-05-22 07:22, (Boyle Heights / East L.A.),"* 2 Bed, 1 Bath Home. A/C, Yard, 2 Parking Spots, PETS OK, Big VIEWS *",2,900.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bed-bath-home-c-yard/7485817631.html,"2,495",
2729,2022-05-22 07:21," (550 N. Figueroa st., Los Angeles, CA)","Karaoke Lounge, Built-in Microwave, Powerball Carpeting",1,945.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-karaoke-lounge-built-in/7481970546.html,"2,405",
2730,2022-05-22 07:20," (616 St. Paul Ave. , Los Angeles, CA)","Two Barbecue Areas, Large Picture Windows, Berber Carpeting",,468.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-two-barbecue-areas-large/7478697826.html,"2,169",
2731,2022-05-22 07:19, (central LA 213/323),"On-Site Maintenance, Spanish Speaking Staff, Disposal",1,575.0,https://losangeles.craigslist.org/lac/apa/d/venice-on-site-maintenance-spanish/7479172604.html,"2,795",
2732,2022-05-22 07:19, (Mid-Wilshire and Koreatown),The Normandie Apartments...Newly Renovated Stylish Studio..Great Locat,,350.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-the-normandie/7486843533.html,"1,495",
2733,2022-05-22 07:19," (1026 S Broadway, Los Angeles, CA)","Washer/Dryer In Unit, Soaking Baths, All Stainless Steel Appliances",1,715.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-washer-dryer-in-unit/7482603464.html,"2,789",
2734,2022-05-22 07:09, (Mid-Wilshire and Koreatown),St. Andrews Apts...Charming Studio-1920's Classic Brick..Newly Remodel,,475.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-st-andrews-aptscharming/7477270291.html,"1,525",
2735,2022-05-22 07:03," (1221 W. 3rd St. , Los Angeles, CA)",Love your home here at the Visconti.,2,979.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-love-your-home-here-at-the/7483797326.html,"2,767",
2736,2022-05-22 07:01, (Mid-Wilshire and Koreatown),La Madrid Apts...Gorgeous Newly Remodeled Studio...Great Location!,,400.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-la-madrid-aptsgorgeous/7482987171.html,"1,495",
2737,2022-05-22 06:59," (101 Bridewell St, Los Angeles, CA)","Breakfast Bar, Soothing Spa, Plush Carpeting",2,830.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-breakfast-bar-soothing-spa/7481525470.html,"2,510",
2738,2022-05-22 06:58, (Hollywood),1 bedroom condo in Hollywood,1,710.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-condo-in-hollywood/7482325728.html,"2,250",
2739,2022-05-22 06:58, (Hollywood),1 bedroom condo in Hollywood,1,710.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-condo-in-hollywood/7482325268.html,"2,250",
2740,2022-05-22 06:58, (Hollywood),Awesome Apartment on Hollywood Hills,1,710.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-awesome-apartment-on/7482817151.html,"2,250",
2741,2022-05-22 06:58, (Koreatown),"Studio, Schedule A Tour Today",,550.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-schedule-tour-today/7486836873.html,"1,345",
2742,2022-05-22 06:55, (central LA 213/323),"On Site Maintenance, Clubhouse, Large Refreshing Pool and Spa",2,900.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-on-site-maintenance/7480506139.html,"2,744",
2743,2022-05-22 06:54, (Koreatown),"Leasing Now, Laundry on Site, Pet Friendly",,500.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-leasing-now-laundry-on-site/7486835652.html,"1,345",
2744,2022-05-22 06:52, (Koreatown),"Studio,Incredible Features, Elevator",,500.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studioincredible-features/7486835097.html,"1,345",
2745,2022-05-22 06:46," (550 N. Figueroa st., Los Angeles, CA)","Powerball Carpeting, Sand Volleyball Court, Outdoor Fireplace",1,945.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-powerball-carpeting-sand/7482870677.html,"2,405",
2746,2022-05-22 06:45, (Los Angeles),"$1995 Newly remodeled Beautiful, Bright 1Bed/1Bath",1,720.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-1995-newly-remodeled/7486832666.html,"1,995",
2747,2022-05-22 06:37, (central LA 213/323),"Dishwasher, Wood Laminate Flooring, Built-in Microwave",3,1192.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-dishwasher-wood-laminate/7484135502.html,"4,472",
2748,2022-05-22 06:32, (central LA 213/323),"Dishwasher, BBQ/Picnic Area, One Block to Venice Beach",1,575.0,https://losangeles.craigslist.org/lac/apa/d/venice-dishwasher-bbq-picnic-area-one/7480705957.html,"2,795",
2749,2022-05-22 06:20, (Melrose/Hollywood),💠Great Melrose Location for this Large and Charming 1+1,1,950.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-great-melrose-location-for/7486822689.html,"3,000",
2750,2022-05-22 06:18, (Melrose/Hollywood),"💠Unique, Beautiful, and Large in an Amazing Melrose Location",1,950.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-unique-beautiful-and-large/7486822259.html,"3,000",
2751,2022-05-22 06:17, (West LA),"2859 Federal Ave., 2BR, 2Bth, Top Floor, Hardwood Flrs!",2,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-2859-federal-ave-2br-2bth/7485683350.html,"2,995",
2752,2022-05-22 06:10, (Melrose District of Hollywood),"💠Location, Space, Beauty, Character, W/D, Dishwasher, A/C, Parking",1,950.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-location-space-beauty/7486822924.html,"3,000",
2753,2022-05-22 06:01," (909 W. Temple St., Los Angeles, CA)",Don't Miss Out On Our Last Studio!! Lease Today!!,,478.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-dont-miss-out-on-our-last/7482810899.html,"2,336",
