,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon
84,2022-05-21 18:41, (NORTH HOLLYWOOD),"BRAND NEW BUILT TOWNHOUSE BACKHOUSE,WASHER DRYER, CENTRAL AC, SS APPLS",3,1200.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-brand-new-built/7485901176.html,"3,500","[None, None]"
85,2022-05-21 18:41, (VAN NUYS),"SPACIOUS TOWNHOUSE CONDO, ATTACHED GARAGE, W/D IN UNIT, SS APPLS,",3,1488.0,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-spacious-townhouse-condo/7485895980.html,"3,400","[None, None]"
86,2022-05-21 18:41, (PACOIMA),"FULLY RENOVATED HOME,SS APPLS,CENTRAL AC,QUARTZ COUNTER,WASHER DRYER",3,1156.0,https://losangeles.craigslist.org/sfv/apa/d/pacoima-fully-renovated-homess/7485901019.html,"3,395","[None, None]"
87,2022-05-21 18:41, (Old Town Newhall / Santa Clarita),SANTA CLARITA 2 Bedroom | Brand New Community | White Shaker Cabinetry,2,1147.0,https://losangeles.craigslist.org/sfv/apa/d/santa-clarita-santa-clarita-bedroom/7484364920.html,"3,145","[None, None]"
88,2022-05-21 18:41, (GLENDALE),"*************GORGEOUS HOUSE, NEW BUILT, CENTRAL AC, WASHER DRYER *****",3,1200.0,https://losangeles.craigslist.org/sfv/apa/d/glendale-gorgeous-house-new-built/7485896186.html,"3,695","[None, None]"
89,2022-05-21 18:41, (NORTH HOLLYWOOD),"BRAND NEW BUILT TOWNHOUSE BACKHOUSE,WASHER DRYER, CENTRAL AC, SS APPLS",3,1200.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-brand-new-built/7485895862.html,"3,500","[None, None]"
90,2022-05-21 18:41, (NORTH HOLLYWOOD),"HOUSE FOR LEASE, WASHER DRYER, WD FLR, CENTRAL AC, SS APPLS, QUARTZ",4,,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-house-for-lease-washer/7485895692.html,"3,900","[None, None]"
91,2022-05-21 18:41, (NORTH HOLLYWOOD),"BRAND NEW BUILT TOWNHOUSE BACKHOUSE,WASHER DRYER, CENTRAL AC, SS APPLS",3,1200.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-brand-new-built/7485888910.html,"3,500","[None, None]"
92,2022-05-21 18:41, (VAN NUYS),"SPACIOUS TOWNHOUSE CONDO, ATTACHED GARAGE, W/D IN UNIT, SS APPLS,",3,1488.0,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-spacious-townhouse-condo/7485888787.html,"3,400","[None, None]"
93,2022-05-21 18:41, (NORTH HOLLYWOOD),"HOUSE FOR LEASE, WASHER DRYER, WD FLR, CENTRAL AC, SS APPLS, QUARTZ",4,,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-house-for-lease-washer/7485888655.html,"3,900","[None, None]"
94,2022-05-21 18:41, (TUJUNGA),"CHARMING HOME, WITH GUESTHOUSE, WASHER DRYER, WOOD FLR, CENTRAL AC,",3,1400.0,https://losangeles.craigslist.org/sfv/apa/d/tujunga-charming-home-with-guesthouse/7485888484.html,"3,295","[None, None]"
95,2022-05-21 18:40, (Palmdale),Beautiful 3 Bdrm 2 & 1/2 Bth Home For Rent,3,1792.0,https://losangeles.craigslist.org/sfv/apa/d/palmdale-beautiful-bdrm-bth-home-for/7486745058.html,"2,175","[None, None]"
